Name,shift,tR1,tR2
2-Hexanone,0.0,221.0178692955707,0.813330175894279
Pentanol,0.0,251.8554913240718,0.5595113696553897
4-Methyl-2-pentanone,0.0,271.88314665690945,0.5069057501486857
Heptanol,0.0,557.3915220634467,0.7512173500556076
Propiophenone,0.0,904.0453309084077,1.4325872387659837
1-Nonanol,0.0,919.7599281421316,0.7778590560527684
1-Decanol,0.0,1099.6143116586784,0.7577607135760963
2-Undecanone,0.0,1123.5287600504164,0.820314522027808
Valerophenone,0.0,1229.4106364980944,1.281577510402891
1-Undecanol,0.0,1264.674170312805,0.7489223683433432
Hexanophenone,0.0,1392.7342149978567,1.2299315509620874
1-Dodecanol,0.0,1424.1549010245335,0.7293028667924865
2-Hexanone,0.1,221.25803077191244,0.7129990465752007
Pentanol,0.1,251.89876406120533,0.4595871518237403
4-Methyl-2-pentanone,0.1,271.91864025006373,0.40697683261572787
Heptanol,0.1,557.563658383027,0.6510705645358458
Propiophenone,0.1,904.0911530697629,1.33282030570085
1-Nonanol,0.1,919.8139670711582,0.6779539022386695
1-Decanol,0.1,1099.6847472346687,0.6578192467033454
2-Undecanone,0.1,1123.6090585979464,0.7203574291660374
Valerophenone,0.1,1229.5588568915553,1.181401187460704
1-Undecanol,0.1,1264.7838245025582,0.6489041354510694
Hexanophenone,0.1,1392.844431458992,1.129897658124897
1-Dodecanol,0.1,1424.206367525466,0.6293949766251664
2-Hexanone,0.2,221.51956336831185,0.6126168743218654
Pentanol,0.2,251.9306344189706,0.35967837982722317
4-Methyl-2-pentanone,0.2,271.94459632354494,0.3070585415820656
Heptanol,0.2,557.7412780845515,0.5509123852757548
Propiophenone,0.2,904.1395440987981,1.2330426822236447
1-Nonanol,0.2,919.8623167000255,0.5780606892942535
1-Decanol,0.2,1099.7472435847938,0.5578937996826504
2-Undecanone,0.2,1123.6802869159148,0.6204206325655485
Valerophenone,0.2,1229.7110915506246,1.081209849342989
1-Undecanol,0.2,1264.9031245344752,0.5488667563357805
Hexanophenone,0.2,1392.9630681776916,1.0298345149680532
1-Dodecanol,0.2,1424.2636411266792,0.5294762187388281
2-Hexanone,0.3,221.79556128211757,0.512199969466009
Pentanol,0.3,251.95355792835107,0.25978174581254754
4-Methyl-2-pentanone,0.3,271.9631816551086,0.20714847521715796
Heptanol,0.3,557.9221916173886,0.4507472714484078
Propiophenone,0.3,904.1917096163097,1.1332490989684112
1-Nonanol,0.3,919.9061925861423,0.4781769012209365
1-Decanol,0.3,1099.8027672446565,0.4579824470814611
2-Undecanone,0.3,1123.743253543797,0.5205023495506538
Valerophenone,0.3,1229.8659895670712,0.9810084452775263
1-Undecanol,0.3,1265.031697330412,0.44881094698427254
Hexanophenone,0.3,1393.0897255284617,0.9297434683369105
1-Dodecanol,0.3,1424.3277798419856,0.42954458417542685
2-Hexanone,0.4,222.07782669131325,0.41176773557770624
Pentanol,0.4,251.96968678802787,0.15989434802513647
4-Methyl-2-pentanone,0.4,271.9762645997888,0.10724456114751992
Heptanol,0.4,558.1040833863634,0.3505799469220932
Propiophenone,0.4,904.2487875591786,1.0334347087519797
1-Nonanol,0.4,919.9468804951526,0.378299873529946
