Name,shift,tR1,tR2
2-Hexanone,0.0,221.01777033217357,0.8882515868014873
Pentanol,0.0,251.85547561809722,0.6305545589050298
4-Methyl-2-pentanone,0.0,271.88311602712884,0.5749775025242928
Heptanol,0.0,557.3913934988452,0.8247140297884095
Propiophenone,0.0,904.0477792933059,1.509890408900789
1-Nonanol,0.0,919.7598836003538,0.8507491802732484
1-Decanol,0.0,1099.614240401323,0.8301354751484855
2-Undecanone,0.0,1123.528687076815,0.8935700740080317
Valerophenone,0.0,1229.4105274722262,1.3578496610542872
1-Undecanol,0.0,1264.6740394940502,0.8209065448840058
Hexanophenone,0.0,1392.7341373122713,1.305703317338651
1-Dodecanol,0.0,1424.1548469606698,0.8006944953326002
2-Hexanone,0.1,221.2579183077197,0.7879164795862171
Pentanol,0.1,251.8987529303317,0.5306320018704136
4-Methyl-2-pentanone,0.1,271.9186187178936,0.47505072615817273
Heptanol,0.1,557.5635234664749,0.724565207217955
Propiophenone,0.1,904.0936585265603,1.4101246200447226
1-Nonanol,0.1,919.81392879776,0.7508453366069829
1-Decanol,0.1,1099.6846860385,0.730194865957041
2-Undecanone,0.1,1123.6089957029517,0.7936135241025896
Valerophenone,0.1,1229.558743413501,1.257672136112705
1-Undecanol,0.1,1264.783678145252,0.7208880388048071
Hexanophenone,0.1,1392.8443456858881,1.2056691853333892
1-Dodecanol,0.1,1424.2063055728383,0.7007881633131691
2-Hexanone,0.2,221.5194404795481,0.6875297109197287
Pentanol,0.2,251.93062672106083,0.4307252271472143
4-Methyl-2-pentanone,0.2,271.94458152289593,0.3751348952981995
Heptanol,0.2,557.7411388109963,0.6244048311917465
Propiophenone,0.2,904.1421142064498,1.3103479947465388
1-Nonanol,0.2,919.8622834190803,0.6509535996851669
1-Decanol,0.2,1099.747191150492,0.6302705136943373
2-Undecanone,0.2,1123.680233079134,0.6936775315128056
Valerophenone,0.2,1229.710974640945,1.1574795049560236
1-Undecanol,0.2,1264.9029626857086,0.6208500886920728
Hexanophenone,0.2,1392.9629744402937,1.1056055858926965
1-Dodecanol,0.2,1424.263569445021,0.6008707810828802
2-Hexanone,0.3,221.79543222901486,0.5871077859253875
Pentanol,0.3,251.95355272710512,0.33083085443291027
4-Methyl-2-pentanone,0.3,271.963171683101,0.2752275355574124
Heptanol,0.3,557.9220502009721,0.5242374226530202
Propiophenone,0.3,904.1943505200951,1.2105553175346466
1-Nonanol,0.3,919.9061630034905,0.5510714185713108
1-Decanol,0.3,1099.802722184296,0.5303604644698738
2-Undecanone,0.3,1123.743207623269,0.5937602907166968
Valerophenone,0.3,1229.8658703646508,1.0572767474532634
1-Undecanol,0.3,1265.0315205099773,0.5207934212642581
Hexanophenone,0.3,1393.0896241869364,1.0055138754067037
1-Dodecanol,0.3,1424.3276966748442,0.5009403059083823
2-Hexanone,0.4,222.0776964715044,0.48667034088276495
Pentanol,0.4,251.9696833461197,0.23094591852163468
4-Methyl-2-pentanone,0.4,271.9762579747992,0.17532651197581944
Heptanol,0.4,558.1039421503751,0.4240677710304846
Propiophenone,0.4,904.251503677571,1.1107416607040332
1-Nonanol,0.4,919.9468533110323,0.451196091811157
1-Decanol,0.4,1099.8523722451491,0.43046250384875684
2-Undecanone,0.4,1123.7988874189793,0.4938596326752391
Valerophenone,0.4,1230.0220004481992,0.9570691447310885
1-Undecanol,0.4,1265.1687190629668,0.42071928713691487
Hexanophenone,0.4,1393.2236776640766,0.9053961729066078
1-Dodecanol,0.4,1424.3996157559727,0.4009949416491906
2-Hexanone,0.5,222.3574681764307,0.3862384097366551
Pentanol,0.5,251.98083338508036,0.1310679174514394
4-Methyl-2-pentanone,0.5,271.9854061755937,0.07543003506348743
Heptanol,0.5,558.2844625627665,0.32390074924447043
Propiophenone,0.5,904.3146178847304,1.0109024881126565
1-Nonanol,0.5,919.9856879644124,0.3513248146116799
1-Decanol,0.5,1099.8973344328367,0.33057421116847385
2-Undecanone,0.5,1123.8483710223556,0.39397309077287546
Valerophenone,0.5,1230.1778983541533,0.8568621206812775
1-Undecanol,0.5,1265.3136743763444,0.3206294444247025
Hexanophenone,0.5,1393.3643110836474,0.8052553216091836
1-Dodecanol,0.5,1424.4800984117023,0.3010331909910835
2-Hexanone,0.6,222.62622296555998,0.2858324837381505
Pentanol,0.6,251.9884902404205,0.031194799777390488
4-Methyl-2-pentanone,0.6,267.9919095705377,3.975536626358731
Heptanol,0.6,558.4613144040272,0.2237411236217625
Propiophenone,0.6,904.3846207564137,0.911033761477149
1-Nonanol,0.6,920.024027912368,0.2514547221871668
1-Decanol,0.6,1099.93887703796,0.23069301014680893
2-Undecanone,0.6,1123.8928598053644,0.29409796330101723
Valerophenone,0.6,1230.332105566536,0.75666107769887
1-Undecanol,0.6,1265.4652696145054,0.22052612224158138
Hexanophenone,0.6,1393.510512953076,0.7050948244208198
1-Dodecanol,0.6,1424.5697328351691,0.20105390702819884
2-Hexanone,0.7,222.87644660567463,0.18547066056882536
Pentanol,0.7,247.99385730749617,3.9313249052899617
4-Methyl-2-pentanone,0.7,267.9968448176426,3.875645055231205
Heptanol,0.7,558.6323437448784,0.12359337117263296
Propiophenone,0.7,904.4622986510095,0.8111320471611124
1-Nonanol,0.7,920.0632419353865,0.15158293086457608
1-Decanol,0.7,1099.9783207261332,0.13081621547654962
2-Undecanone,0.7,1123.933632557982,0.1942313708645922
Valerophenone,0.7,1230.4832155729637,0.6564712337168858
1-Undecanol,0.7,1265.6221835005238,0.12041196421662032
Hexanophenone,0.7,1393.6611100566972,0.6049187542206041
1-Dodecanol,0.7,1424.668898733276,0.10105634143182723
2-Hexanone,0.8,223.1022512748115,0.08516715707224978
