Name,shift,tR1,tR2
2-Hexanone,0.0,221.01783486258023,0.8459451731258532
Pentanol,0.0,251.85548623397935,0.5904811428857378
4-Methyl-2-pentanone,0.0,271.88313485263706,0.5367050038193798
Heptanol,0.0,557.3914749804159,0.7832988412652839
Propiophenone,0.0,904.0455161703053,1.4662766893228636
1-Nonanol,0.0,919.7599111831254,0.8097670654835695
1-Decanol,0.0,1099.6142843571022,0.7894854056297539
2-Undecanone,0.0,1123.5287322402055,0.8523982386642168
Valerophenone,0.0,1229.4105957076658,1.3148883707255554
1-Undecanol,0.0,1264.6741200700133,0.7805175461868635
Hexanophenone,0.0,1392.7341857861772,1.2630659735262997
1-Dodecanol,0.0,1424.1548803089177,0.7606645277162284
2-Hexanone,0.1,221.25799164268003,0.7456124051658691
Pentanol,0.1,251.89876045367546,0.4905576246229844
4-Methyl-2-pentanone,0.1,271.9186319522265,0.4367769688521331
Heptanol,0.1,557.5636089741607,0.6831512124176838
Propiophenone,0.1,904.0913421323701,1.3665102790816128
1-Nonanol,0.1,919.8139524986815,0.70986244886139
1-Decanol,0.1,1099.6847237879965,0.6895442909340678
2-Undecanone,0.1,1123.6090346288834,0.7524413684303586
Valerophenone,0.1,1229.5588144411506,1.2147115846527206
1-Undecanol,0.1,1264.7837682919355,0.6804992003199272
Hexanophenone,0.1,1392.8443992082075,1.16303198781165
1-Dodecanol,0.1,1424.2063437871923,0.660757275896445
2-Hexanone,0.2,221.51952061341478,0.6452283404563697
Pentanol,0.2,251.93063192395732,0.39064969361952556
4-Methyl-2-pentanone,0.2,271.944590620086,0.3368596917939239
Heptanol,0.2,557.7412270804834,0.5829921239753675
Propiophenone,0.2,904.1397375744016,1.2667331035813245
1-Nonanol,0.2,919.8623040281924,0.6099698409303352
1-Decanol,0.2,1099.7472234951338,0.5896192931196226
2-Undecanone,0.2,1123.6802663990206,0.6525049009738053
Valerophenone,0.2,1229.711047696694,1.1145197572418728
1-Undecanol,0.2,1264.9030623741419,0.5804615863394723
Hexanophenone,0.2,1392.963032934626,1.0629686682830637
1-Dodecanol,0.2,1424.2636136605852,0.5608390813921147
2-Hexanone,0.3,221.79551638394835,0.544809369684561
Pentanol,0.3,251.95355624247284,0.2907540115288401
4-Methyl-2-pentanone,0.3,271.9631778125234,0.23695074089407211
Heptanol,0.3,557.9221398290059,0.4828260607573335
Propiophenone,0.3,904.191908091581,1.1669399601847712
1-Nonanol,0.3,919.9061813221022,0.5100867113880826
1-Decanol,0.3,1099.802749980191,0.4897084750912952
2-Undecanone,0.3,1123.7432360437804,0.5525870442592418
Valerophenone,0.3,1229.8659446075133,1.0143178476352195
1-Undecanol,0.3,1265.0316294200495,0.4804054246676584
Hexanophenone,0.3,1393.0896874289872,0.9628773654682976
1-Dodecanol,0.3,1424.3277479749147,0.4609079213977746
2-Hexanone,0.4,222.07778138866672,0.4443749922344576
Pentanol,0.4,251.96968567236092,0.19086764994712685
4-Methyl-2-pentanone,0.4,271.9762620469853,0.1370480180094594
Heptanol,0.4,558.1040316644812,0.3826577737545008
Propiophenone,0.4,904.2489914200132,1.0671259324737004
1-Nonanol,0.4,919.9468701439449,0.4102103805894977
1-Decanol,0.4,1099.852396380592,0.38980964143699637
2-Undecanone,0.4,1123.7989116953147,0.4526856455513473
Valerophenone,0.4,1230.0220749916425,0.9141111149489898
