Name,CAS,Phase,Tchar,thetachar,DeltaCp,phi0,Source,Cat_1,Cat_2,Cat_3,Cat_4
Isobornylacetat,76-49-3,Rxi17SilMS,157.55,33.044,81.267,0.001,Marquart2020,allergenic fragrances,,,
Carvone,99-49-0,Rxi17SilMS,160.07,33.285,82.81,0.001,Marquart2020,allergenic fragrances,,,
beta-Caryophyllene,87-44-5,Rxi17SilMS,172.85,34.686,61.769,0.001,Marquart2020,allergenic fragrances,,,
d-Damascone,57378-68-4,Rxi17SilMS,173.3,34.657,113.26,0.001,Marquart2020,allergenic fragrances,,,
E-beta-Damascone,23726-93-4,Rxi17SilMS,179.92,33.969,92.213,0.001,Marquart2020,allergenic fragrances,,,
Majantol,103694-68-4,Rxi17SilMS,183.58,34.558,96.669,0.001,Marquart2020,allergenic fragrances,,,
Amylsalicylate,2050-08-0,Rxi17SilMS,202.07,35.067,100.5,0.001,Marquart2020,allergenic fragrances,,,
3-Propylidenephthalide,17369-59-4,Rxi17SilMS,218.14,37.653,92.163,0.001,Marquart2020,allergenic fragrances,,,
Isoeugenylacetat,93-29-8,Rxi17SilMS,216.5,34.412,118.98,0.001,Marquart2020,allergenic fragrances,,,
alpha-Acetylcedrene A,32388-55-9,Rxi17SilMS,229.4,37.845,97.227,0.001,Marquart2020,allergenic fragrances,,,
alpha-Acetylcedrene B,32388-55-9,Rxi17SilMS,231.8,39.798,113.08,0.001,Marquart2020,allergenic fragrances,,,
alpha-Acetylcedrene C,32388-55-9,Rxi17SilMS,233.56,42.874,234.46,0.001,Marquart2020,allergenic fragrances,,,
Hexadecanolaceton,36653-82-4,Rxi17SilMS,247.68,38.909,95.377,0.001,Marquart2020,allergenic fragrances,,,
Ebanol A,67801-20-1,Rxi17SilMS,175.01,33.36,98.393,0.001,Marquart2020,allergenic fragrances,,,
Ebanol B,67801-20-1,Rxi17SilMS,176.36,33.328,101.4,0.001,Marquart2020,allergenic fragrances,,,
Iso E Super A,54464-57-2,Rxi17SilMS,213.41,37.053,101.05,0.001,Marquart2020,allergenic fragrances,,,
Iso E Super B,54464-57-2,Rxi17SilMS,214.72,37.385,103.16,0.001,Marquart2020,allergenic fragrances,,,
Iso E Super C,54464-57-2,Rxi17SilMS,217.2,38.245,102.52,0.001,Marquart2020,allergenic fragrances,,,
Iso E Super D,54464-57-2,Rxi17SilMS,218.27,37.694,108.2,0.001,Marquart2020,allergenic fragrances,,,
Terpinolene,586-62-9,Rxi17SilMS,119.46,31.285,75.193,0.001,Marquart2020,allergenic fragrances,,,
Anethol,4180-23-8,Rxi17SilMS,166.73,33.185,85.2,0.001,Marquart2020,allergenic fragrances,,,
alpha Damascone,35044-63-4,Rxi17SilMS,176.46,33.705,93.343,0.001,Marquart2020,allergenic fragrances,,,
Santalol A,115-71-9,Rxi17SilMS,213.9,36.386,104.29,0.001,Marquart2020,allergenic fragrances,,,
Santalol B,115-71-9,Rxi17SilMS,214.91,35.986,107.63,0.001,Marquart2020,allergenic fragrances,,,
Amylcinnamylaldehyd,122-40-7,Rxi17SilMS,215.63,35.611,109.29,0.001,Marquart2020,allergenic fragrances,,,
Santalol C,37172-32-0,Rxi17SilMS,219.54,37.114,130.18,0.001,Marquart2020,allergenic fragrances,,,
Santalol D,37172-32-0,Rxi17SilMS,221.36,37.124,126.57,0.001,Marquart2020,allergenic fragrances,,,
Pentanol,71-41-0,Rxi5ms,63.49,29.567,149.85,0.001,Brehmer2022,alcohol,alcohols,,
Heptanol,111-70-6,Rxi5ms,105.71,32.011,143.96,0.001,Brehmer2022,alcohol,alcohols,,
Nonanol,143-08-8,Rxi5ms,142.06,33.698,115.04,0.001,Brehmer2022,alcohol,alcohols,,
Decanol,112-30-1,Rxi5ms,157.89,34.111,129.92,0.001,Brehmer2022,alcohol,alcohols,,
Undecanol,112-42-5,Rxi5ms,172.92,34.385,124.07,0.001,Brehmer2022,alcohol,alcohols,,
Dodecanol,112-53-8,Rxi5ms,186.93,34.576,128.98,0.001,Brehmer2022,alcohol,alcohols,,
Pentanol,71-41-0,Rxi17SilMS,58.934,26.919,189.66,0.001,Brehmer2022,alcohol,alcohols,,
Heptanol,111-70-6,Rxi17SilMS,98.42,30.458,197.86,0.001,Brehmer2022,alcohol,alcohols,,
Nonanol,143-08-8,Rxi17SilMS,133.6,32.935,165.13,0.001,Brehmer2022,alcohol,alcohols,,
Decanol,112-30-1,Rxi17SilMS,149.1,33.298,159.25,0.001,Brehmer2022,alcohol,alcohols,,
Undecanol,112-42-5,Rxi17SilMS,163.77,34.15,172.93,0.001,Brehmer2022,alcohol,alcohols,,
Dodecanol,112-53-8,Rxi17SilMS,177.53,34.954,178.63,0.001,Brehmer2022,alcohol,alcohols,,
Pentanol,71-41-0,Rxi5ms,80.359,31.939,69.163,0.002,Brehmer2022,alcohol,alcohols,,
Heptanol,111-70-6,Rxi5ms,124.07,34.307,82.053,0.002,Brehmer2022,alcohol,alcohols,,
Nonanol,143-08-8,Rxi5ms,161.3,36.201,86.509,0.002,Brehmer2022,alcohol,alcohols,,
Decanol,112-30-1,Rxi5ms,177.87,36.828,88.452,0.002,Brehmer2022,alcohol,alcohols,,
Undecanol,112-42-5,Rxi5ms,193.28,37.256,88.277,0.002,Brehmer2022,alcohol,alcohols,,
Dodecanol,112-53-8,Rxi5ms,207.9,38.185,104.33,0.002,Brehmer2022,alcohol,alcohols,,
Hexane,110-54-3,Rxi5ms,40.032,26.871,42.741,0.002,Brehmer2022,alkanes,,,
Heptane,142-82-5,Rxi5ms,64.807,30.972,24.629,0.002,Brehmer2022,alkane,alkanes,,
Octane,111-65-9,Rxi5ms,88.832,32.139,28.419,0.002,Brehmer2022,alkane,alkanes,,
Nonane,111-84-2,Rxi5ms,110.41,32.885,46.352,0.002,Brehmer2022,alkane,alkanes,,
Decane,124-18-5,Rxi5ms,130.19,33.719,56.797,0.002,Brehmer2022,alkane,Grob,alkanes,
Undecane,1120-21-4,Rxi5ms,148.87,34.386,39.219,0.002,Brehmer2022,alkane,Grob,alkanes,
Dodecane,112-40-3,Rxi5ms,165.75,35.133,58.893,0.002,Brehmer2022,alkane,alkanes,,
Tridecane,629-50-5,Rxi5ms,181.54,35.765,69.863,0.002,Brehmer2022,alkane,alkanes,,
Tetradecane,629-59-4,Rxi5ms,196.38,36.223,72.89,0.002,Brehmer2022,alkane,alkanes,,
Pentadecane,629-62-9,Rxi5ms,210.26,36.697,80.269,0.002,Brehmer2022,alkane,alkanes,,
