Name,CAS,Phase,Tchar,thetachar,DeltaCp,phi0,Source,Cat_1,Cat_2,Cat_3
C9,111-84-2,DB5ms,87.97,28.004,51.332,0.001,Boswell2012,alkane,alkanes,
Pentyl acetate ,628-63-7,DB5ms,89.881,27.48,62.651,0.001,Boswell2012,carboxylate esters,,
"N,N-dimethylisobutyramide ",21678-37-5,DB5ms,102.19,29.099,64.347,0.001,Boswell2012,,,
Phenol,108-95-2,DB5ms,102.21,28.654,83.07,0.001,Boswell2012,aromatic,,
Aniline,62-53-3,DB5ms,104.98,30.71,55.717,0.001,Boswell2012,aromatic,amine,anilines
2-Octanone,111-13-7,DB5ms,105.43,28.957,63.466,0.001,Boswell2012,ketone,alkanones,
"N,N-diethylacetamide ",685-91-6,DB5ms,107.09,29.71,70.673,0.001,Boswell2012,,,
C10,124-18-5,DB5ms,107.2,28.836,58.24,0.001,Boswell2012,alkane,Grob,alkanes
Hexyl acetate,142-92-7,DB5ms,108.61,28.388,66.544,0.001,Boswell2012,carboxylate esters,,
1-Octanol,111-87-5,DB5ms,119.66,29.388,72.708,0.001,Boswell2012,alcohol,Grob,alcohols
n-Butylbenzene ,104-51-8,DB5ms,119.8,31.162,59.474,0.001,Boswell2012,aromatic,,
Acetophenone ,98-86-2,DB5ms,122.11,31.731,62.677,0.001,Boswell2012,aromatic,ketone,phenones
2-Nonanone,821-55-6,DB5ms,123.58,29.772,70.058,0.001,Boswell2012,ketone,alkanones,
C11,1120-21-4,DB5ms,124.9,29.549,66.526,0.001,Boswell2012,alkane,Grob,alkanes
Linalool,78-70-6,DB5ms,125.54,30.17,72.207,0.001,Boswell2012,allergenic fragrances,terpene,alcohol
Tert-butylpyridine,585-48-8,DB5ms,126.93,32.122,64.322,0.001,Boswell2012,,,
Octanoic acid,124-7-2,DB5ms,133.66,28.759,105.31,0.001,Boswell2012,,,
Propiophenone ,93-55-0,DB5ms,138.96,32.312,68.595,0.001,Boswell2012,phenone,phenones,
4-Ethylaniline,589-16-2,DB5ms,139.39,32.458,69.125,0.001,Boswell2012,anilines,,
2-Decanone,693-54-9,DB5ms,140.45,30.5,75.991,0.001,Boswell2012,ketone,alkanones,
C12,112-40-3,DB5ms,141.47,30.259,71.241,0.001,Boswell2012,alkane,alkanes,
Octyl acetate,112-14-1,DB5ms,142.41,29.998,79.426,0.001,Boswell2012,carboxylate esters,,
Naphthalene,91-20-3,DB5ms,145.55,34.572,59.24,0.001,Boswell2012,PAH,,
Resorcinol,108-46-3,DB5ms,152.7,30.999,110.36,0.001,Boswell2012,,,
Butyrophenone ,495-40-9,DB5ms,153.16,32.9,66.298,0.001,Boswell2012,phenone,phenones,
2-Undecanone,112-12-9,DB5ms,156.26,31.24,81.755,0.001,Boswell2012,ketone,alkanones,
C13,629-50-5,DB5ms,156.9,30.894,80.347,0.001,Boswell2012,alkane,alkanes,
Indole,120-72-9,DB5ms,160.32,34.144,74.445,0.001,Boswell2012,,,
Decanoic acid ,334-48-5,DB5ms,164.33,30.685,102.49,0.001,Boswell2012,,,
Benzamide,55-21-0,DB5ms,164.51,33.99,82.916,0.001,Boswell2012,,,
Valerophenone ,1009-14-9,DB5ms,168.74,33.507,72.384,0.001,Boswell2012,phenone,phenones,
Nicotine,22083-74-5,DB5ms,168.95,34.765,71.153,0.001,Boswell2012,,,
4-Butylaniline,104-13-2,DB5ms,170.45,33.871,74.222,0.001,Boswell2012,anilines,,
2-Dodecanone,6175-49-1,DB5ms,171.28,31.857,76.888,0.001,Boswell2012,ketone,alkanones,
C14,629-59-4,DB5ms,171.64,31.484,76.299,0.001,Boswell2012,alkane,alkanes,
Decyl acetate,112-17-4,DB5ms,172.29,31.288,83.719,0.001,Boswell2012,carboxylate esters,,
Hexanophenone,942-92-7,DB5ms,183.49,34.016,74.216,0.001,Boswell2012,phenone,phenones,
Coumarin,91-64-5,DB5ms,183.72,36.251,65.422,0.001,Boswell2012,allergenic fragrances,,
2-Tridecanone,593-8-8,DB5ms,185.04,32.362,88.653,0.001,Boswell2012,ketone,,
C15,629-62-9,DB5ms,185.17,32.005,84.611,0.001,Boswell2012,alkane,alkanes,
1-Naphthol,90-15-3,DB5ms,191.6,36.024,91.421,0.001,Boswell2012,,,
Nikethamide,59-26-7,DB5ms,194.27,35.177,84.675,0.001,Boswell2012,,,
Heptanophenone ,1671-75-6,DB5ms,197.12,34.524,82.695,0.001,Boswell2012,phenone,phenones,
C16,544-76-3,DB5ms,198.13,32.383,85.559,0.001,Boswell2012,alkane,alkanes,
4-Hexylaniline,33228-45-4,DB5ms,198.6,34.89,84.816,0.001,Boswell2012,anilines,,
Benzocaine,94-9-7,DB5ms,198.82,35.055,88.436,0.001,Boswell2012,,,
4-Nitroaniline,100-1-6,DB5ms,204.12,36.824,82.672,0.001,Boswell2012,,,
Diphenylamine,122-39-4,DB5ms,206.26,36.275,86.257,0.001,Boswell2012,,,
Octanophenone ,1674-37-9,DB5ms,210.1,34.93,91.909,0.001,Boswell2012,phenone,phenones,
C17,629-78-7,DB5ms,210.13,32.723,92.907,0.001,Boswell2012,alkane,alkanes,
2-Pentadecanone,2345-28-0,DB5ms,210.52,33.201,93.15,0.001,Boswell2012,ketone,alkanones,
Tri-n-hexylamine ,102-86-3,DB5ms,213.84,33.198,101.38,0.001,Boswell2012,,,
C18,593-45-3,DB5ms,221.6,33.074,101.27,0.001,Boswell2012,alkane,alkanes,
4-Octylaniline,16245-79-7,DB5ms,223.94,35.74,97.637,0.001,Boswell2012,anilines,,
Anthracene,120-12-7,DB5ms,231.94,40.07,76.365,0.001,Boswell2012,PAH,,
Caffeine,58-8-2,DB5ms,232.6,37.765,94.912,0.001,Boswell2012,,,
C19,629-92-5,DB5ms,232.62,33.488,105.68,0.001,Boswell2012,alkane,alkanes,
Indole-3-acetic acid ethyl ester,778-82-5,DB5ms,235.2,36.693,100.54,0.001,Boswell2012,,,
Lidocaine,137-58-6,DB5ms,236.13,36.909,92.941,0.001,Boswell2012,,,
C20,112-95-8,DB5ms,243.08,33.815,112.77,0.001,Boswell2012,alkane,alkanes,
4-Decylaniline,37529-30-9,DB5ms,246.83,36.465,106.73,0.001,Boswell2012,anilines,,
Triphenylmethane,519-73-3,DB5ms,250.04,38.249,94.178,0.001,Boswell2012,,,
C21,629-94-7,DB5ms,253.07,34.136,118.95,0.001,Boswell2012,alkane,alkanes,
C22,629-97-0,DB5ms,262.63,34.426,125.23,0.001,Boswell2012,alkane,alkanes,
4-Dodecylaniline,104-42-7,DB5ms,267.6,37.02,116.51,0.001,Boswell2012,anilines,,
Dextromethorphan,125-71-3,DB5ms,268.23,40.017,99.94,0.001,Boswell2012,,,
Tri-n-octylamine ,1116-76-3,DB5ms,271.08,34.833,129.45,0.001,Boswell2012,,,
C23,638-67-5,DB5ms,271.8,34.71,131.64,0.001,Boswell2012,alkane,alkanes,
C24,646-31-1,DB5ms,280.59,34.975,137.54,0.001,Boswell2012,alkane,alkanes,
C25,629-99-2,DB5ms,289.05,35.214,142.53,0.001,Boswell2012,alkane,alkanes,
C26,630-1-3,DB5ms,297.19,35.446,147.26,0.001,Boswell2012,alkane,,
C28,630-2-4,DB5ms,312.58,35.826,154.82,0.001,Boswell2012,alkane,,
Tri-n-decylamine,1070-1-5,DB5ms,316.75,35.777,151.16,0.001,Boswell2012,,,
C30,638-68-6,DB5ms,326.91,36.139,161.78,0.001,Boswell2012,alkane,alkanes,
C32,544-85-4,DB5ms,340.33,36.462,171.34,0.001,Boswell2012,alkanes,,
C34,14167-59-0,DB5ms,352.42,36.343,171.71,0.001,Boswell2012,alkanes,,
C36,630-6-8,DB5ms,364.2,36.576,181.85,0.001,Boswell2012,,,
Methyl butyrate,623-42-7,Rxi17SilMS,49.699,25.139,82.71,0.001,Brehmer2022,FAME,saturated FAME,FAMEs
4-Methyl-2-pentanone,108-10-1,Rxi17SilMS,56.791,28.996,90.281,0.001,Brehmer2022,ketone,,
Pentanol,71-41-0,Rxi17SilMS,58.934,26.919,189.66,0.001,Brehmer2022,alcohol,alcohols,
Toluene,108-88-3,Rxi17SilMS,60.799,28.234,70.101,0.001,Brehmer2022,BTEX,,
2-Hexanone,591-78-6,Rxi17SilMS,69.311,27.747,183.88,0.001,Brehmer2022,ketone,alkanones,
Hexan-1-ol,111-27-3,Rxi17SilMS,77.98,26.825,116.18,0.001,Brehmer2022,alcohol,alcohols,
Ethylbenzene,100-41-4,Rxi17SilMS,81.076,29.203,92.253,0.001,Brehmer2022,BTEX,aromatic,
m-Xylene,108-38-3,Rxi17SilMS,82.057,29.116,76.562,0.001,Brehmer2022,BTEX,,
p-Xylene,106-42-3,Rxi17SilMS,82.057,29.116,76.562,0.001,Brehmer2022,BTEX,,
Chlorobenzene,108-90-7,Rxi17SilMS,82.793,29.922,84.973,0.001,Brehmer2022,aromatic,,
2-Heptanone,110-43-0,Rxi17SilMS,85.535,27.024,113.81,0.001,Brehmer2022,ketone,alkanones,
n-Heptanal,111-71-7,Rxi17SilMS,87.462,27.489,112.17,0.001,Brehmer2022,aldehyde,,
o-Xylene,95-47-6,Rxi17SilMS,89.046,29.889,70.688,0.001,Brehmer2022,BTEX,aromatic,
Methyl hexanoate,106-70-7,Rxi17SilMS,89.321,27.033,96.702,0.001,Brehmer2022,FAME,saturated FAME,FAMEs
Cyclohexanol,108-93-0,Rxi17SilMS,90.044,29.425,88.676,0.001,Brehmer2022,alcohol,,
Styrene,100-42-5,Rxi17SilMS,91.666,29.76,94.467,0.001,Brehmer2022,aromatic,,
Heptanol,111-70-6,Rxi17SilMS,98.42,30.458,197.86,0.001,Brehmer2022,alcohol,alcohols,
